user_input,model,latency_sec,query,filters,desc,score
AX 개발그룹 문서중에 김태원이 작성한 전사 AX 과제 추진 계획서 ppt 파일,gemini-3.5-flash-lite,2.815,전사 AX 과제 추진 계획서,"ecm_cabinet_name: ANY(""AX 개발그룹"") AND (owner_name: ANY(""김태원"") OR regist_user_name: ANY(""김태원"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",AX 개발그룹 문서함에서 김태원이 작성하거나 등록한 파워포인트(PPT) 파일 중 '전사 AX 과제 추진 계획서' 키워드로 검색합니다.,10
AX 개발그룹 문서중에 김태원이 작성한 전사 AX 과제 추진 계획서 ppt 파일,gemini-3.7-flash,3.444,전사 AX 과제 추진 계획서,"ecm_cabinet_name: ANY(""AX 개발그룹"") AND (owner_name: ANY(""김태원"") OR regist_user_name: ANY(""김태원"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",AX 개발그룹 문서함에서 김태원이 작성하거나 등록한 파워포인트(PPT) 파일 중 '전사 AX 과제 추진 계획서' 키워드로 검색합니다.,10
2023년도에 정재홍이 작성한 엑셀 문서,gemini-3.5-flash-lite,1.304,,"(owner_name: ANY(""정재홍"") OR regist_user_name: ANY(""정재홍"")) AND ecm_file_format: ANY(""xls"", ""xlsx"", ""XLS"", ""XLSX"", ""csv"") AND (ecm_regist_date >= 2023-01-01T00:00:00Z AND ecm_regist_date <= 2023-12-31T23:59:59Z)",정재홍이 작성하거나 등록한 2023년 등록 엑셀 파일 중 별도 검색어 없이 검색합니다.,10
2023년도에 정재홍이 작성한 엑셀 문서,gemini-3.7-flash,2.464,,"(owner_name: ANY(""정재홍"") OR regist_user_name: ANY(""정재홍"")) AND ecm_file_format: ANY(""xls"", ""xlsx"", ""XLS"", ""XLSX"", ""csv"") AND (ecm_regist_date >= ""2023-01-01T00:00:00Z"" AND ecm_regist_date <= ""2023-12-31T23:59:59Z"")",정재홍이 작성자이거나 등록자인 2023년 등록된 엑셀(스프레드시트) 문서를 검색합니다.,10
유희영 대리 소유 문서 중에 팀즈 관련 문서 좀 찾아줄래,gemini-3.5-flash-lite,1.085,팀즈,"(owner_name: ANY(""유희영"") OR regist_user_name: ANY(""유희영""))",소유자 또는 등록자가 유희영인 문서 중 '팀즈' 키워드로 검색합니다.,10
유희영 대리 소유 문서 중에 팀즈 관련 문서 좀 찾아줄래,gemini-3.7-flash,4.536,팀즈,"(owner_name: ANY(""유희영"") OR regist_user_name: ANY(""유희영""))",유희영이 작성자이거나 등록자인 문서 중 '팀즈' 키워드로 검색합니다.,10
DX기획그룹 문서 중 이정훈 차장이 작성한 추진계획서 ppt 파일,gemini-3.5-flash-lite,1.298,추진계획서,"ecm_cabinet_name: ANY(""DX기획그룹"") AND (owner_name: ANY(""이정훈"") OR regist_user_name: ANY(""이정훈"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",DX기획그룹 문서함에서 이정훈이 작성하거나 등록한 파워포인트(PPT) 파일 중 '추진계획서' 키워드로 검색합니다.,10
DX기획그룹 문서 중 이정훈 차장이 작성한 추진계획서 ppt 파일,gemini-3.7-flash,2.422,추진계획서,"ecm_cabinet_name: ANY(""DX기획그룹"") AND (owner_name: ANY(""이정훈"") OR regist_user_name: ANY(""이정훈"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",DX기획그룹 문서함에서 이정훈이 작성하거나 등록한 파워포인트(PPT) 파일 중 '추진계획서' 키워드로 검색합니다.,10
과제명 수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,gemini-3.5-flash-lite,1.158,과제명 수소투자 그룹 투자 기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,,별도 필터 조건 없이 '과제명 수소투자 그룹 투자 기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축' 키워드로 전문 검색합니다.,9
과제명 수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,gemini-3.7-flash,7.24,수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,,별도 필터 조건 없이 '수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축' 키워드로 전문 검색합니다.,10
