user_input,model,latency_sec,query,filters,desc,score,reason
AX 개발그룹 문서중에 김태원이 작성한 전사 AX 과제 추진 계획서 ppt 파일,gemini-3.5-flash-lite,2.815,전사 AX 과제 추진 계획서,"ecm_cabinet_name: ANY(""AX 개발그룹"") AND (owner_name: ANY(""김태원"") OR regist_user_name: ANY(""김태원"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",AX 개발그룹 문서함에서 김태원이 작성하거나 등록한 파워포인트(PPT) 파일 중 '전사 AX 과제 추진 계획서' 키워드로 검색합니다.,10,"1. 필터 문법(ANY, AND, OR)과 필드명(ecm_cabinet_name, owner_name, regist_user_name, ecm_file_format)이 EBNF 규칙에 완벽히 부합합니다. 2. 부서(AX 개발그룹), 작성자(김태원), 파일형식(ppt, pptx 대소문자 포함)이 필터에 빠짐없이 정확하게 반영되었습니다. 3. 필터로 분리된 속성들을 깔끔하게 제외하고 핵심 키워드('전사 AX 과제 추진 계획서')만 쿼리로 정제되었습니다. 4. 설명 또한 조건과 검색 키워드를 모두 포함하여 이해하기 쉽게 한 문장으로 완벽히 서술되었습니다."
AX 개발그룹 문서중에 김태원이 작성한 전사 AX 과제 추진 계획서 ppt 파일,gemini-3.7-flash,3.444,전사 AX 과제 추진 계획서,"ecm_cabinet_name: ANY(""AX 개발그룹"") AND (owner_name: ANY(""김태원"") OR regist_user_name: ANY(""김태원"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",AX 개발그룹 문서함에서 김태원이 작성하거나 등록한 파워포인트(PPT) 파일 중 '전사 AX 과제 추진 계획서' 키워드로 검색합니다.,10,"1. 필터 문법(ANY, AND, OR) 및 Discovery Engine 스키마 필드명(ecm_cabinet_name, owner_name, regist_user_name, ecm_file_format)을 EBNF 규격에 맞게 완벽히 작성했습니다. 2. 질문에 포함된 부서(AX 개발그룹), 작성자(김태원), 파일형식(ppt) 조건이 빠짐없이 필터에 반영되었습니다. 3. 필터로 추출된 항목을 제외하고 핵심 검색어인 '전사 AX 과제 추진 계획서'만 깔끔하게 정제되었습니다. 4. 설명 또한 모든 조건과 검색어를 매끄럽고 명확한 한 문장으로 풀어서 기술했습니다."
2023년도에 정재홍이 작성한 엑셀 문서,gemini-3.5-flash-lite,1.304,,"(owner_name: ANY(""정재홍"") OR regist_user_name: ANY(""정재홍"")) AND ecm_file_format: ANY(""xls"", ""xlsx"", ""XLS"", ""XLSX"", ""csv"") AND (ecm_regist_date >= 2023-01-01T00:00:00Z AND ecm_regist_date <= 2023-12-31T23:59:59Z)",정재홍이 작성하거나 등록한 2023년 등록 엑셀 파일 중 별도 검색어 없이 검색합니다.,10,"1. EBNF 문법 및 필드명(owner_name, regist_user_name, ecm_file_format, ecm_regist_date 등)이 정확하게 작성되었습니다. 2. 작성자(정재홍), 파일 형식(엑셀 확장자 일체), 기간(2023년 전체) 조건이 빠짐없이 충실하게 반영되었습니다. 3. 필터로 분리된 조건 외에 별도의 검색 키워드가 없으므로 쿼리를 빈 문자열로 정제한 것이 적절합니다. 4. 필터링된 조건과 빈 쿼리 상태를 알기 쉽게 설명에 정확히 담아냈습니다."
2023년도에 정재홍이 작성한 엑셀 문서,gemini-3.7-flash,2.464,,"(owner_name: ANY(""정재홍"") OR regist_user_name: ANY(""정재홍"")) AND ecm_file_format: ANY(""xls"", ""xlsx"", ""XLS"", ""XLSX"", ""csv"") AND (ecm_regist_date >= ""2023-01-01T00:00:00Z"" AND ecm_regist_date <= ""2023-12-31T23:59:59Z"")",정재홍이 작성자이거나 등록자인 2023년 등록된 엑셀(스프레드시트) 문서를 검색합니다.,10,"1. EBNF 문법 및 필드명(owner_name, regist_user_name, ecm_file_format, ecm_regist_date)을 규격에 맞춰 완벽하게 작성했습니다. 2. 2023년도(기간), 작성자(정재홍), 파일 형식(엑셀) 조건이 필터에 빠짐없이 정확하게 반영되었습니다. 3. 질문의 모든 요소가 메타데이터 필터 조건으로 완벽히 분리되어 query가 빈 문자열로 정제된 것이 적절합니다. 4. 설명(desc) 또한 필터링된 조건들을 명확하고 자연스럽게 요약하여 전달하고 있습니다."
유희영 대리 소유 문서 중에 팀즈 관련 문서 좀 찾아줄래,gemini-3.5-flash-lite,1.085,팀즈,"(owner_name: ANY(""유희영"") OR regist_user_name: ANY(""유희영""))",소유자 또는 등록자가 유희영인 문서 중 '팀즈' 키워드로 검색합니다.,10,"1. EBNF 문법 및 필드명: Discovery Engine 문법에 맞게 ANY 연산자와 OR 조건을 올바르게 사용했으며, 필드명(owner_name, regist_user_name)도 정확합니다(3/3점). 2. 조건 반영 충실도: '유희영 대리 소유 문서' 조건을 owner_name과 regist_user_name에 누락 없이 완벽히 매핑했습니다(3/3점). 3. 검색어 정제도: 소유자 및 불필요한 조사/어미를 제외하고 핵심 키워드인 '팀즈'만 깔끔하게 남겼습니다(2/2점). 4. 설명 충실도: 필터 조건(소유자/등록자 유희영)과 검색어('팀즈')를 알기 쉽게 명확한 한 문장으로 잘 기술했습니다(2/2점)."
유희영 대리 소유 문서 중에 팀즈 관련 문서 좀 찾아줄래,gemini-3.7-flash,4.536,팀즈,"(owner_name: ANY(""유희영"") OR regist_user_name: ANY(""유희영""))",유희영이 작성자이거나 등록자인 문서 중 '팀즈' 키워드로 검색합니다.,10,"1. EBNF 문법 및 필드명: Discovery Engine 문법에 맞게 owner_name 및 regist_user_name 필드와 ANY, OR 연산자를 올바르게 사용했습니다 (3/3점). 2. 조건 반영 충실도: '유희영 대리 소유 문서' 조건을 owner_name과 regist_user_name에 적절히 반영했습니다 (3/3점). 3. 검색어 정제도: 소유자 및 불필요한 서술어를 제외하고 핵심 키워드인 '팀즈'만 정확히 추출했습니다 (2/2점). 4. 설명 작성 충실도: 필터 조건과 검색어를 포함하여 명확하고 자연스러운 한 문장으로 설명했습니다 (2/2점)."
DX기획그룹 문서 중 이정훈 차장이 작성한 추진계획서 ppt 파일,gemini-3.5-flash-lite,1.298,추진계획서,"ecm_cabinet_name: ANY(""DX기획그룹"") AND (owner_name: ANY(""이정훈"") OR regist_user_name: ANY(""이정훈"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",DX기획그룹 문서함에서 이정훈이 작성하거나 등록한 파워포인트(PPT) 파일 중 '추진계획서' 키워드로 검색합니다.,10,"1. EBNF 문법 및 필드명: ecm_cabinet_name, owner_name/regist_user_name, ecm_file_format 필드를 적절히 사용하였고 ANY 및 AND/OR 결합 문법을 완벽하게 준수했습니다 (3/3점). 2. 조건 반영 충실도: 'DX기획그룹', '이정훈 차장(직급 제외 이름 매핑 및 owner/regist 복수 대응)', 'ppt 파일(대소문자 및 pptx 확장자 포괄)' 조건을 누락 없이 정확히 반영했습니다 (3/3점). 3. 검색어 정제도: 메타데이터 필터 조건을 모두 제외하고 핵심 검색 키워드인 '추진계획서'만 깔끔하게 추출했습니다 (2/2점). 4. 설명 작성 충실도: 필터링 조건과 검색 키워드를 사람이 이해하기 쉽게 명확한 한 문장으로 잘 기술했습니다 (2/2점)."
DX기획그룹 문서 중 이정훈 차장이 작성한 추진계획서 ppt 파일,gemini-3.7-flash,2.422,추진계획서,"ecm_cabinet_name: ANY(""DX기획그룹"") AND (owner_name: ANY(""이정훈"") OR regist_user_name: ANY(""이정훈"")) AND ecm_file_format: ANY(""ppt"", ""pptx"", ""PPT"", ""PPTX"")",DX기획그룹 문서함에서 이정훈이 작성하거나 등록한 파워포인트(PPT) 파일 중 '추진계획서' 키워드로 검색합니다.,10,"1. EBNF 문법 및 필드명: ecm_cabinet_name, owner_name/regist_user_name, ecm_file_format 필드와 ANY, AND, OR 연산자를 완벽히 준수했습니다 (3/3점). 2. 조건 반영 충실도: 부서(DX기획그룹), 작성자(이정훈), 파일 형식(ppt/pptx 대소문자)이 누락 없이 정확하게 필터로 반영되었습니다 (3/3점). 3. 검색어 정제도: 메타데이터 필터 조건 및 직급(차장) 등을 제외하고 핵심 키워드인 '추진계획서'만 깔끔하게 남겼습니다 (2/2점). 4. 설명 작성 충실도: 적용된 부서, 작성자, 확장자 조건 및 검색 키워드를 사람이 이해하기 쉽게 명확한 한 문장으로 기술했습니다 (2/2점)."
과제명 수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,gemini-3.5-flash-lite,1.158,과제명 수소투자 그룹 투자 기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,,별도 필터 조건 없이 '과제명 수소투자 그룹 투자 기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축' 키워드로 전문 검색합니다.,9,"사용자 질문에 부서, 작성자, 파일 확장자, 기간 등 특정 메타데이터 필터 조건이 없으므로 필터 표현식을 빈 값으로 두고 전체 내용을 검색어(query)로 활용한 점이 적절합니다. 불필요한 특수문자(/)를 제거하여 검색어를 깔끔하게 정제했으며, 설명 또한 의도를 충실하게 전달하고 있습니다. 다만 질의 앞부분의 '과제명'과 같은 불용어성 레이블 키워드까지 쿼리에 그대로 포함되어 있어 정제도 측면에서 약간의 아쉬움이 있습니다."
과제명 수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,gemini-3.7-flash,7.24,수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축,,별도 필터 조건 없이 '수소투자 그룹 투자/기획 업무 지원을 위한 AI 기반 정보통합 분석 및 대화형 검색 환경 구축' 키워드로 전문 검색합니다.,10,"사용자 질문은 특정 메타데이터 조건(작성자, 부서, 기간, 확장자 등) 없이 과제명 전체를 전문 검색하고자 하는 질의입니다. 따라서 필터를 비워두고 불필요한 키워드인 '과제명'을 제외한 실제 과제명 텍스트만 검색어로 잘 정제하였으며, 설명 역시 검색 의도에 맞게 명확히 작성되었습니다."
